seed,subject,classifier,pca_components,eer_pct
1,17,LDA,20,13.333333333333334
1,17,k-NN,40,0.5000000000000002
1,17,LDA,40,0.0
1,17,k-NN,80,0.5000000000000002
1,17,LDA,80,0.0
1,17,k-NN,150,0.9756097560975601
1,17,LDA,150,0.0
1,18,k-NN,10,0.0
1,18,LDA,10,0.0
1,18,k-NN,20,0.508474576271188
1,18,LDA,20,0.0
1,18,k-NN,40,0.0
1,18,LDA,40,0.0
1,18,k-NN,80,0.0
1,18,LDA,80,0.0
1,18,k-NN,150,0.0
1,18,LDA,150,0.0
1,19,k-NN,10,16.7381974248927
1,19,LDA,10,19.48717948717949
1,19,k-NN,20,16.666666666666664
1,19,LDA,20,20.0
1,19,k-NN,40,0.5000000000000002
1,19,LDA,40,20.0
1,19,k-NN,80,1.8604651162790697
1,19,LDA,80,20.0
1,19,k-NN,150,1.4285714285714275
1,19,LDA,150,20.0
1,20,k-NN,10,16.666666666666664
1,20,LDA,10,1.025641025641025
1,20,k-NN,20,0.0
1,20,LDA,20,0.5128205128205132
1,20,k-NN,40,0.0
1,20,LDA,40,0.0
1,20,k-NN,80,0.0
1,20,LDA,80,0.0
1,20,k-NN,150,0.0
1,20,LDA,150,0.0
1,21,k-NN,10,0.0
1,21,LDA,10,2.0512820512820515
1,21,k-NN,20,0.0
1,21,LDA,20,0.0
1,21,k-NN,40,0.0
1,21,LDA,40,0.0
1,21,k-NN,80,0.0
1,21,LDA,80,0.0
1,21,k-NN,150,0.0
1,21,LDA,150,0.0
1,22,k-NN,10,0.9756097560975601
1,22,LDA,10,2.564102564102564
1,22,k-NN,20,0.0
1,22,LDA,20,0.5128205128205132
1,22,k-NN,40,0.0
1,22,LDA,40,0.5128205128205132
1,22,k-NN,80,0.0
1,22,LDA,80,0.5128205128205132
1,22,k-NN,150,0.0
1,22,LDA,150,1.025641025641025
1,23,k-NN,10,28.57142857142857
1,23,LDA,10,5.128205128205128
1,23,k-NN,20,16.810344827586203
1,23,LDA,20,3.076923076923077
1,23,k-NN,40,16.7381974248927
1,23,LDA,40,0.5128205128205132
1,23,k-NN,80,16.7381974248927
1,23,LDA,80,0.5128205128205132
1,23,k-NN,150,16.95652173913043
1,23,LDA,150,3.076923076923077
1,24,k-NN,10,0.508474576271188
1,24,LDA,10,0.5128205128205132
1,24,k-NN,20,0.0
1,24,LDA,20,0.0
1,24,k-NN,40,0.0
1,24,LDA,40,0.0
1,24,k-NN,80,0.0
1,24,LDA,80,0.0
1,24,k-NN,150,0.9999999999999991
